% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.000000000000e+03) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +8.287602554e+01 -9.171239745e+02 -9.171239745e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
48 0 +8.224479305e+01 -9.177552070e+02 -9.177552070e+02 +3.1764e+00 -2.5048e-01 +2.7890e-01 +3.9452e-01 +1.0767e+00 +6.9519e-01 +1.1734e+00 -3.1131e+00 -4.4109e-01 +2.1222e+00 +3.9394e+00 -1.8019e+00 -1.4409e+00 -1.9210e+00 +2.4290e-01 -3.5209e+00 -1.9837e+00 -1.9465e+00 +1.7142e+00 +1.8436e-01
62 0 +7.844288688e+01 -9.215571131e+02 -9.215571131e+02 -3.4196e+00 +2.9736e-01 -5.5906e-01 +4.2649e+00 +1.5779e+00 +1.6447e-01 +2.2828e+00 +1.4261e+00 -1.3777e+00 +1.6031e+00 +1.4598e+00 -1.6898e+00 -1.2354e+00 +1.6128e+00 +2.1631e-01 -1.4901e+00 +1.7799e+00 +6.3530e-01 +3.7130e-01 -2.2246e-02
377 0 +7.622695855e+01 -9.237730415e+02 -9.237730415e+02 -3.3526e+00 +8.2767e-02 +1.7181e+00 -1.4432e+00 +5.9877e-01 -1.2476e-01 +6.9409e-01 -6.9212e+00 +1.9623e+00 +3.2588e+00 -7.1575e-01 -1.6327e+00 -8.0228e-01 -2.5042e+00 -4.5297e-01 -3.2723e+00 -4.2035e-01 +1.3361e+00 +2.4041e+00 -1.1077e+00
759 0 +7.546526380e+01 -9.245347362e+02 -9.245347362e+02 -2.2749e+00 -1.2503e+00 -2.0464e+00 +2.3111e+00 -3.2952e+00 +1.7564e+00 -2.3180e+00 +1.7432e+00 +2.0811e+00 -2.2069e+00 -2.9127e+00 +5.6842e-02 +1.0827e-01 -1.4565e+00 -1.9641e+00 -1.8170e+00 -4.5446e-01 -5.6655e-01 -2.6512e+00 -1.1229e-01
785 0 +7.172385926e+01 -9.282761407e+02 -9.282761407e+02 -4.9050e+00 -2.3430e+00 +2.5837e+00 -7.6220e-01 -7.7568e-01 -2.1381e+00 -2.1522e+00 -6.1259e-01 +8.2025e-01 -5.6889e-01 +4.3712e+00 -1.6030e+00 -1.5306e+00 -2.5611e+00 -1.6069e+00 -1.4747e+00 +2.0314e+00 -1.5061e+00 -8.6794e-01 -1.7763e+00
2020 0 +6.935426077e+01 -9.306457392e+02 -9.306457392e+02 -3.8808e+00 -1.5303e+00 +1.3069e+00 -3.6040e+00 +1.7805e+00 -6.0141e+00 -2.8365e+00 -1.8646e+00 +3.2810e+00 -6.1409e-01 +3.8733e+00 -1.2967e+00 -7.4879e-01 +9.9015e-01 -2.7987e+00 -2.8184e+00 -4.9662e-01 -2.0504e+00 -1.3953e+00 +4.2377e-01
2031 0 +6.454522256e+01 -9.354547774e+02 -9.354547774e+02 -2.3729e+00 +7.7726e-01 +2.3045e+00 -3.0992e+00 +1.9846e+00 +3.2814e+00 -2.6636e+00 -1.9617e+00 -1.4960e+00 +1.1530e+00 +1.9068e+00 -2.0279e+00 -2.4850e+00 +3.0858e+00 -1.1506e+00 -1.5839e+00 -3.8191e-01 -1.3498e+00 -9.1528e-01 +3.5516e+00
2466 0 +5.979560106e+01 -9.402043989e+02 -9.402043989e+02 -2.2134e+00 -2.5200e+00 +2.9306e+00 -2.9264e+00 +5.8584e-01 -3.3784e+00 -3.0351e+00 -3.5870e+00 -2.0771e+00 +2.1282e+00 +2.2132e+00 -1.7818e+00 +3.0999e-02 -1.4980e+00 -2.9027e+00 -2.9716e+00 +4.5120e-01 -6.2875e-01 -1.2086e-01 -4.9190e-01
2470 0 +5.689714336e+01 -9.431028566e+02 -9.431028566e+02 -1.8849e+00 -2.1435e+00 +2.4732e+00 -2.9215e+00 +2.2751e-01 -3.3198e+00 -2.0048e+00 -3.8660e+00 +9.3459e-01 +3.9876e+00 +8.4761e-01 -1.0769e+00 +1.2167e+00 -1.8640e+00 -6.7478e-01 -3.1030e+00 -6.7113e-01 -1.7610e+00 +1.6910e+00 +5.3180e-01
2483 0 +5.497109825e+01 -9.450289018e+02 -9.450289018e+02 -2.3524e+00 -2.4222e+00 +3.5115e+00 -2.3641e+00 +5.0054e-02 -4.2021e+00 -2.5220e+00 -3.1393e+00 -2.9932e-01 +2.4920e+00 +1.3339e+00 -9.2873e-01 +1.6935e-01 -1.2406e+00 -3.4703e+00 -2.4229e+00 +8.7590e-01 -3.6174e-01 -9.5033e-02 -1.5061e+00
2487 0 +4.117735429e+01 -9.588226457e+02 -9.588226457e+02 -2.8105e+00 -3.2645e+00 +2.6555e+00 -2.6815e+00 +4.2704e-01 -2.1170e+00 -1.8978e+00 -2.5028e+00 +3.4321e+00 +1.9890e+00 +1.8586e+00 -1.8843e+00 +1.3880e+00 -8.3964e-01 -6.3268e-01 -3.0091e+00 -5.9624e-01 +9.6831e-03 +2.9875e-01 -4.3514e-01
2944 0 +4.036837122e+01 -9.596316288e+02 -9.596316288e+02 -3.7075e+00 -2.8074e+00 +3.3219e-01 -3.0881e+00 +2.0711e+00 -3.0325e+00 +2.6804e-01 -3.6122e+00 +1.2938e+00 +1.4656e+00 +3.5536e+00 -1.1116e+00 +8.0023e-01 -2.6140e+00 +6.0252e-03 -2.9223e+00 -4.5575e-01 +1.0086e+00 -2.1028e+00 -2.5477e+00
2996 0 +3.324510739e+01 -9.667548926e+02 -9.667548926e+02 -4.3785e+00 -1.6131e+00 +8.8708e-01 -2.1163e+00 -1.9635e-01 -3.0429e+00 -1.6615e+00 -3.6882e+00 +2.2819e+00 +3.7040e+00 +1.9392e+00 -1.6874e+00 +1.4808e+00 +1.6909e-02 +2.7314e-02 -2.8021e+00 -2.3990e-02 +5.7559e-01 -9.9334e-01 -1.9670e+00
3004 0 +2.539729581e+01 -9.746027042e+02 -9.746027042e+02 -2.5313e+00 -3.7215e+00 +1.2654e+00 -4.3799e+00 +1.1457e-02 -1.9547e+00 -1.6448e+00 -5.1780e+00 +2.7956e-01 +2.7187e+00 +1.0916e+00 -1.2393e+00 +2.1417e+00 -1.2546e+00 -1.2098e+00 -3.7891e+00 +7.7109e-01 +5.4941e-01 -1.8597e-01 -1.4487e+00
3068 0 +1.952794088e+01 -9.804720591e+02 -9.804720591e+02 -3.7129e+00 -3.1766e+00 -3.3048e-02 -4.0123e+00 +6.4851e-01 -3.2321e+00 -7.9944e-01 -4.6700e+00 +3.2800e+00 +3.9269e+00 +2.2926e+00 -5.5058e-01 +2.5323e+00 -6.5293e-01 -1.6769e-01 -3.5892e+00 +1.6271e+00 -3.1641e-01 +1.6489e+00 -8.5953e-01
