% f evaluations | g evaluations | best noise-free fitness - Fopt (-4.620900000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
856 0 +2.663068053e+02 -1.957831947e+02 -1.957831947e+02 -1.6963e+00 -1.4318e+00 +3.3948e+00 -6.8667e-01 -1.4282e-01 +8.5170e-01 +1.6605e+00 +1.4732e+00 +7.9117e-01 +1.2162e+00 -8.3596e-01 -2.3614e+00 -3.6061e-01 -3.5382e+00 -1.4227e+00 -3.8999e+00 -1.6223e+00 +1.6112e+00 -2.0745e+00 +1.3290e+00
1238 0 +2.241647801e+02 -2.379252199e+02 -2.379252199e+02 -2.2443e+00 -2.4262e+00 +8.2504e-01 -2.9699e-01 +9.7281e-01 +8.3352e-01 +1.4038e+00 +4.7313e-01 +9.2008e-01 -6.2390e-03 -1.3557e+00 -2.8038e+00 +1.2316e+00 -3.0385e+00 -1.0913e+00 -3.8517e+00 +9.0210e-02 +1.5776e+00 -1.6611e+00 +1.7942e+00
1765 0 +2.206482876e+02 -2.414417124e+02 -2.414417124e+02 -1.8109e+00 -1.2968e+00 +2.6711e+00 -6.7946e-01 +1.4663e+00 +2.7519e+00 +8.2299e-01 +1.2769e-01 +2.0078e+00 +1.6144e+00 -2.7399e+00 -2.1650e+00 -5.6047e-01 -3.4815e+00 -1.3751e+00 -3.8593e+00 -7.2810e-01 +3.1420e+00 -2.4179e+00 +1.7334e+00
1887 0 +2.179520477e+02 -2.441379523e+02 -2.441379523e+02 -1.3341e+00 -6.2088e-01 +2.1187e+00 -9.9097e-01 +1.6593e+00 +2.1846e+00 +6.9061e-01 +1.5530e+00 +1.7645e+00 -9.6647e-02 -2.7514e+00 -2.6537e+00 -2.0053e-01 -2.7396e+00 -1.0803e+00 -3.3210e+00 -9.5398e-01 +2.1726e+00 -2.0449e+00 +1.3995e+00
1984 0 +1.903062006e+02 -2.717837994e+02 -2.717837994e+02 -2.2101e+00 -5.6917e-01 +3.5637e+00 +7.2237e-01 +8.0798e-01 +2.1037e+00 +9.2009e-01 +2.2523e-01 +1.6299e+00 -1.6749e-02 -2.1647e+00 -1.8250e+00 +1.3875e-01 -3.9295e+00 -1.3164e+00 -4.2464e+00 -6.1741e-01 +3.3776e+00 -2.4272e+00 +1.5182e+00
2096 0 +1.800096509e+02 -2.820803491e+02 -2.820803491e+02 -1.7542e+00 +6.8913e-01 +3.0389e+00 -1.9705e+00 +9.9921e-01 +1.9662e+00 -1.1202e+00 +1.7572e+00 +2.2973e+00 +1.5360e-01 -2.5401e+00 -2.7548e+00 -6.0717e-01 -3.3569e+00 -1.2909e+00 -3.4405e+00 -1.1352e+00 +3.3289e+00 -3.1066e+00 +1.1408e+00
3849 0 +1.697237412e+02 -2.923662588e+02 -2.923662588e+02 -2.1378e+00 -2.9571e-01 +5.1798e-01 -5.4397e-01 +1.4024e+00 +1.4139e+00 +3.8345e-01 +1.4555e+00 +1.0619e+00 -8.2381e-02 -3.0459e+00 -3.8900e+00 -1.4921e+00 -2.7933e+00 -5.6919e-01 -3.8857e+00 -7.2478e-01 +2.9657e+00 -2.1102e+00 +2.2448e+00
3908 0 +1.658717012e+02 -2.962182988e+02 -2.962182988e+02 -2.4734e+00 +3.6974e-01 +5.8966e-01 +1.5166e+00 +1.7585e+00 +1.4955e+00 +5.9776e-01 +1.7750e+00 +2.4136e+00 +8.2952e-01 -3.4434e+00 -3.7971e+00 -1.5989e+00 -3.8648e+00 -1.1701e+00 -2.7920e+00 -8.6672e-01 +3.3448e+00 -2.4023e+00 +2.4933e+00
4300 0 +1.514864186e+02 -3.106035814e+02 -3.106035814e+02 -3.2156e+00 +2.8518e-01 +1.1976e+00 +1.4289e+00 +3.2436e+00 +2.0876e+00 +2.7233e+00 +2.1374e+00 +6.2039e-01 +4.7667e-02 -3.4386e+00 -4.1282e+00 +1.5674e-01 -3.8742e+00 -1.2622e+00 -3.4334e+00 -1.0663e+00 +3.3803e+00 -2.5905e+00 +1.5159e+00
4825 0 +1.490558938e+02 -3.130341062e+02 -3.130341062e+02 -1.9814e+00 +1.6369e+00 +1.2652e+00 +1.7084e+00 +2.1064e+00 +1.3944e+00 +1.3387e+00 +3.3138e+00 +2.9849e+00 -5.4820e-01 -1.9060e+00 -3.5588e+00 -7.7103e-01 -2.5917e+00 -1.7423e+00 -3.9622e+00 -3.8245e-01 +2.1323e+00 -2.4077e+00 +2.2202e+00
