% f evaluations | g evaluations | best noise-free fitness - Fopt (-4.620900000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
65 0 +3.312172251e+01 +2.941172251e+01 +2.941172251e+01 +1.3303e+00 -6.2448e-01 +1.5319e+00
89 0 +3.130005292e+01 +2.759005292e+01 +2.759005292e+01 +2.0726e+00 -9.1882e-01 +1.5019e+00
97 0 +2.574709153e+01 +2.203709153e+01 +2.203709153e+01 +1.9226e+00 -3.3204e+00 +1.1113e+00
100 0 +2.226641468e+01 +1.855641468e+01 +1.855641468e+01 +7.8769e-01 -2.2728e+00 +1.8443e+00
220 0 +1.761514602e+01 +1.390514602e+01 +1.390514602e+01 +2.0898e+00 -1.3142e+00 +1.4784e+00
255 0 +1.592254603e+01 +1.221254603e+01 +1.221254603e+01 +1.3189e+00 -1.1741e+00 +1.7822e+00
284 0 +1.535668341e+01 +1.164668341e+01 +1.164668341e+01 +1.3600e+00 -2.3263e+00 +1.0508e+00
286 0 +1.032050702e+01 +6.610507018e+00 +6.610507018e+00 +2.1400e+00 -2.2309e+00 +1.7142e+00
311 0 +9.817926690e+00 +6.107926690e+00 +6.107926690e+00 +3.1222e+00 -1.1996e+00 +1.4404e+00
502 0 +7.291688264e+00 +3.581688264e+00 +3.581688264e+00 +1.3286e+00 -2.3156e+00 +1.7676e+00
733 0 +7.022528531e+00 +3.312528531e+00 +3.312528531e+00 +1.0566e+00 -2.2556e+00 +1.4757e+00
3614 0 +7.000177692e+00 +3.290177692e+00 +3.290177692e+00 +1.1946e+00 -2.3515e+00 +1.4680e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.321800000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.554324192e+02 +2.876124192e+02 +2.876124192e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 0 +1.528548754e+02 +2.850348754e+02 +2.850348754e+02 +4.1395e+00 -4.4794e-01 +7.0260e-01
6 0 +1.006891675e+02 +2.328691675e+02 +2.328691675e+02 +7.3920e-01 +3.8380e+00 +1.5053e+00
10 0 +6.850646621e+01 +2.006864662e+02 +2.006864662e+02 +3.6785e+00 +3.3689e+00 +1.2431e+00
14 0 +6.052602162e+01 +1.927060216e+02 +1.927060216e+02 -1.0683e+00 +3.2670e+00 +2.5644e+00
23 0 +4.748193259e+01 +1.796619326e+02 +1.796619326e+02 +4.3110e-01 +1.9530e+00 +2.2641e+00
38 0 +4.117432282e+01 +1.733543228e+02 +1.733543228e+02 +3.4834e+00 +1.3247e+00 +2.2730e+00
