Variant,Run,BestValue,RealEvaluations,TimeSec
classic,1,2.485200e-11,37464,2.3733
classic,2,2.381177e-11,38164,2.4190
classic,3,3.059587e-11,38668,2.4066
classic,4,2.574183e-11,37716,2.3132
classic,5,2.942850e-11,39984,2.4500
surrogate,1,2.181019e-11,37312,7.5148
surrogate,2,4.221382e-11,40003,7.9081
surrogate,3,2.634058e-11,38633,7.4776
surrogate,4,2.065486e-11,37985,7.3447
surrogate,5,2.942850e-11,39984,7.6134
