Variant,Run,BestValue,RealEvaluations,TimeSec
classic,1,6.225645e-06,40012,1.9637
classic,2,4.044353e-06,40012,2.1597
classic,3,3.927114e-06,39200,1.9673
classic,4,4.243865e-06,40012,2.1585
classic,5,4.290593e-06,40012,1.9777
surrogate,1,3.899976e-06,40005,5.9485
surrogate,2,3.503341e-06,39274,5.9967
surrogate,3,3.927114e-06,39200,5.6284
surrogate,4,4.024235e-06,39427,5.8620
surrogate,5,3.023134e-06,39120,6.1540
