Variant,Run,BestValue,RealEvaluations,TimeSec
classic,1,2.948380e-06,40012,1.7810
classic,2,8.247937e-06,40012,1.7930
classic,3,2.671046e-06,40012,1.7863
classic,4,2.933188e-06,40012,1.7905
classic,5,7.713466e-06,40012,1.7987
surrogate,1,2.948380e-06,40012,5.5768
surrogate,2,8.247937e-06,40012,5.5425
surrogate,3,2.671046e-06,40012,5.5257
surrogate,4,2.933188e-06,40012,5.5096
surrogate,5,7.713466e-06,40012,5.5309
